frame,incremental_drift_mean,incremental_drift_std,norm_drift_mean,norm_drift_std,norm_dist_to_final_mean,norm_dist_to_final_std
1,65.07964556907969,28.85219419639814,4.619993248801718,5.043444066445771,2.3733280915165627,1.8253787674016089
2,22.839306362542125,9.44887697069216,1.2598296043814667,0.7073149622837684,1.250048109268826,0.27519771013603256
3,18.245857754661525,12.163139247595764,0.9158748216682812,0.5147721774695109,1.032364583333075,0.14908193205188178
4,10.043711054923284,7.945220648820062,0.4646765628051672,0.28632802143027697,0.8102630904796979,0.1562546903175171
5,6.318263279007671,4.446987795305646,0.29380758254662376,0.16577434913582265,0.7599173258387762,0.1171756055401837
6,6.7427950584716765,5.853451862309384,0.35681067876461237,0.2983902144586413,0.7382124999043125,0.13316625451862968
7,5.679898652376547,6.875104925492798,0.289231108207089,0.3554639849109266,0.6886066283149653,0.13081352289898904
8,7.280282842476098,8.999514289951986,0.2920280951132773,0.3034708731715167,0.6553110007817713,0.12129886953112771
9,3.211879382089313,6.575413522979748,0.1527776555639362,0.19139204606376398,0.6218840529849734,0.12955072295543663
10,2.3001597445266277,2.850745586155843,0.12056279072351117,0.12192288348962592,0.5998735725678456,0.11975994870058557
11,2.829830499893249,3.068416961158301,0.15646985074730574,0.15908879364533776,0.5851520636991042,0.11993806262939612
12,3.2108832086849004,4.160225352254643,0.12514908653835202,0.1077750123843408,0.5768885503219681,0.12073514655651396
13,2.0067778481659557,2.269925224649725,0.09338221063169534,0.08049987402409804,0.5742973841621704,0.11894369886652274
14,3.343430586654646,3.8943134458491055,0.15290121571396048,0.13411096299557987,0.570314257912391,0.11697100999404528
15,1.9390151414235977,3.361181401040313,0.09949922883227195,0.1861739542322565,0.5580281996953457,0.12640936966254893
16,1.0318539374995792,0.9636327281708021,0.0569195726497982,0.050217159961952314,0.5425450766748322,0.13590606878356154
17,1.5213878184906056,2.4713040402218946,0.06598461824097121,0.07315745177431232,0.5372731398548636,0.13790252726898689
18,2.5621764700517033,3.8935069296946985,0.12717412014451093,0.2647032996874852,0.5316917342552803,0.13867750505368898
19,1.9382331963452715,3.298103430294167,0.08350588596805335,0.10862985622184905,0.515787568030366,0.12756012609755474
20,2.3452783082279067,3.6122553142806675,0.08773713399903293,0.10573353623349338,0.5070267078751322,0.13037051046038461
21,2.5104932622301663,3.8744734177150875,0.08260325389807306,0.09428883871328432,0.5038441640035511,0.13140996684808567
22,1.4964867138877664,2.6693853081327017,0.05552473536810275,0.06352337780107874,0.49545763045962943,0.13147591339789522
23,1.3912571027303648,2.4982235885331123,0.05286978005793258,0.0530166470594762,0.4938472514576252,0.13503050814795933
24,1.582328950495268,2.5027355416892125,0.0634105378555519,0.059851705391163204,0.49155474011452205,0.13402157873250034
25,1.9303815618289928,3.1376974363796872,0.0780299871258296,0.099208643739734,0.4844310179060088,0.13707454501665164
26,2.4417650370290476,4.206800987356879,0.12584461528439533,0.23473802834332305,0.4827106063466712,0.13229325247770923
27,2.8676190286590804,6.501178655868819,0.104761153299716,0.18984792994690486,0.4683446520717637,0.1411392733602184
28,4.219312341508575,8.802582570054298,0.13729370141344352,0.22982194596670036,0.4817568696973318,0.1525765641377946
29,5.992826645388742,11.076653017041629,0.18485052507528205,0.2810174521557573,0.4838932227677886,0.1459993612468987
30,5.656762414630952,11.558025319085592,0.16960019758363604,0.25488089708362366,0.42587179296748534,0.18726283672554941
31,5.031700258693759,11.190674790732219,0.17126231175180578,0.27998127996197447,0.45497697971180073,0.22787779929023044
32,5.682333535259632,11.763908238828682,0.24013399509902433,0.3908666756941122,0.4057454746193119,0.19718193774946582
33,3.540004671696353,2.4725213716335905,0.22644229987306652,0.1659146686979533,0.3860300738085302,0.1413612513499444
34,2.8339560667347694,4.427456818309083,0.1565928923337675,0.24886902847152684,0.3492578043738419,0.15552939018977738
35,1.2141034864960185,2.447340354629351,0.06908561098097458,0.13327194820463098,0.3165866003372867,0.16773751379820614
36,0.9746958484916781,1.6720067601092874,0.04963660105293005,0.054996311602039556,0.32122710488068595,0.16492484407545377
37,1.3064996689722952,2.1286192337614045,0.060051031759398354,0.059270446105733975,0.31420862568109303,0.16635278076738835
38,1.730891679722579,3.0179499665149163,0.08264872403498626,0.134388195819184,0.3047832667886223,0.16612197205650062
39,2.327279097651229,3.9586549040870955,0.11138161372878085,0.15377787432012713,0.2904775731236957,0.1759475863123515
40,2.302006639957683,3.7873620635491294,0.12647084340433057,0.1750185889529462,0.27344943449890446,0.18723705300126095
41,3.1453800994515095,7.49152266266316,0.15814608842111122,0.30349290034869725,0.2879976207854473,0.18135818140235824
42,3.3844104877203796,8.387048532369475,0.1261740915885507,0.23314959850473818,0.27042711480373877,0.22017927711304672
43,1.191120310272024,1.8400284245124114,0.07438736507094806,0.10944532885928461,0.279352667260216,0.2827249116219368
44,1.3854704334876373,2.30453172341318,0.0860412811578386,0.13686535982843007,0.259242169298179,0.28923946813633805
45,4.97307298038603,12.037921432974361,0.1704381587257903,0.33278736435520556,0.2486455954725071,0.29314549746539287
46,2.914171839840638,5.0711305136063904,0.13372199559159115,0.16409292769583939,0.1698784490857079,0.17491841470386632
47,1.5777107008739766,2.464243402193219,0.08819717640656705,0.10420114751813137,0.173777917901754,0.19170734012640364
48,1.893956087666366,4.663096696232723,0.0937925995563927,0.14455096075531787,0.14869522209930364,0.19820321545361883
49,3.789359839490789,8.320988041367254,0.19335531372372602,0.3059141434006367,0.09840226928714278,0.17476269827093077
