benchmark,total_frames,stabilization_frame,stabilized,stabilization_ratio
isvlsi_undet_bms/counter_bit_width_large,50,43.0,True,0.86
isvlsi_undet_bms/bin-suffix-5,50,,False,
isvlsi_undet_bms/qspiflash_dualflexpress_divthree-p132,50,44.0,True,0.88
isvlsi_undet_bms/simple_vardep_1,50,43.0,True,0.86
isvlsi_undet_bms/qspiflash_qflexpress_divfive-p025,50,43.0,True,0.86
isvlsi_undet_bms/qspiflash_qflexpress_divfive-p131,50,43.0,True,0.86
isvlsi_undet_bms/stack-p2,50,,False,
isvlsi_undet_bms/minepump_spec3_product45.cil,50,,False,
isvlsi_undet_bms/Problem02_label10,50,42.0,True,0.84
isvlsi_undet_bms/kalman_bit_width_small,50,45.0,True,0.9
isvlsi_undet_bms/fib_30,50,,False,
isvlsi_sat_bms/rocket_1761,33,,False,
isvlsi_sat_bms/ILA_Piccolo_LHU_problem,50,,False,
isvlsi_sat_bms/yosyshq_appnote_123_cv32e40x-p104,50,,False,
isvlsi_sat_bms/pals_lcr.5.1.ufo.UNBOUNDED.pals+Problem12_label04,9,,False,
isvlsi_sat_bms/arbitrated_top_n4_w8_d32_e0,50,,False,
isvlsi_sat_bms/yosyshq_appnote_123_veer-p08,50,,False,
isvlsi_sat_bms/arbitrated_top_n2_w32_d32_e0,50,,False,
isvlsi_sat_bms/Problem13_label23,6,,False,
isvlsi_sat_bms/Problem101_label01,10,,False,
isvlsi_sat_bms/rocket_5541,33,,False,
isvlsi_sat_bms/rocket_2045,32,,False,
isvlsi_sat_bms/yosyshq_appnote_123_veer_axi-p62,50,,False,
